id,guest_id,guest_name,email_id,check_in_date,check_out_date,room_number,room_type,room_price_per_day,duration_of_stay,meal_charges,discount,gst,grand_total_amount,created_at
1,2,"Utkarsh Roy",utkarsh.roy25@gmail.com,"2024-04-08 00:00:00","2024-04-16 14:30:00",30,N,7509,8,0,5406.48,2733.28,57398.8,"2024-09-01 16:13:53"
4,2,"Utkarsh Roy",utkarsh.roy25@gmail.com,"2024-08-18 12:00:00","2024-08-20 12:38:02",47,D,6372,2,1401.84,0,707.29,14853.13,"2024-09-01 16:41:20"
5,5,"Kanak Pandit",kanakpandit17@gmail.com,"2024-08-01 22:11:56","2024-08-11 22:11:56",47,D,6372,11,7710.12,6308.28,3574.69,75068.53,"2024-09-01 16:42:27"
9,941,"David M.",david79@gmail.com,"2024-07-03 00:00:00","2024-07-23 00:00:00",21,N,8679,20,3534,1164,9051.84,181036.8,"2023-12-04 00:00:00"
10,363,"Amit K.",amit43@gmail.com,"2024-09-21 00:00:00","2024-10-17 00:00:00",32,D,8911,26,2106,1945,12061.4025,241228.05,"2023-10-14 00:00:00"
11,183,"Michael K.",michael94@gmail.com,"2024-01-22 00:00:00","2024-02-03 00:00:00",29,N,5700,12,1244,1318,3521.8050000000003,70436.1,"2024-06-20 00:00:00"
12,119,"Rahul D.",rahul51@gmail.com,"2023-06-11 00:00:00","2023-06-23 00:00:00",7,N,9363,12,1398,1634,5812.905000000001,116258.1,"2023-08-13 00:00:00"
13,941,"David M.",david79@gmail.com,"2024-04-14 00:00:00","2024-04-22 00:00:00",38,D,10461,8,661,1136,4333.9800000000005,86679.6,"2023-10-12 00:00:00"
14,941,"David M.",david79@gmail.com,"2024-04-04 00:00:00","2024-04-19 00:00:00",5,N,6822,15,1356,1407,5298.4575,105969.15,"2024-09-30 00:00:00"
15,265,"Sunita R.",sunita32@gmail.com,"2024-08-23 00:00:00","2024-09-08 00:00:00",41,D,8494,16,2860,1176,7073.22,141464.4,"2023-12-23 00:00:00"
